source,celltype,gene_id,gene_symbol,gene_symbol_canonical,log2_fold_change,bootstrap_ci_low,bootstrap_ci_high,stratified_permutation_p,n_SLE,n_HC,bootstraps,permutations,seed
generated,T cell,ENSG00000184979,USP18,USP18,1.2965606747896992,0.8168914595690225,1.7178991181676226,0.008,30,12,1000,999,20260917
generated,T cell,ENSG00000140105,WARS,WARS1,0.8024527285654609,0.48410684199260967,1.11601900881685,0.005,30,12,1000,999,20260917
real,T cell,ENSG00000019582,CD74,CD74,0.5325923074904231,0.2347891166049861,0.7865426239224504,0.021,30,12,1000,999,20260917
real,T cell,ENSG00000134326,CMPK2,CMPK2,2.7151909939564356,2.085053549157937,3.3000271234867187,0.001,30,12,1000,999,20260917
real,T cell,ENSG00000137200,CMTR1,CMTR1,0.6459420722149322,0.37216608228659903,0.8987093782133053,0.003,30,12,1000,999,20260917
real,T cell,ENSG00000184371,CSF1,CSF1,0.48199266285239145,0.10987425419165886,0.822138324923519,0.083,30,12,1000,999,20260917
real,T cell,ENSG00000169245,CXCL10,CXCL10,1.897793824882029,1.117672304837201,2.533978974387141,0.001,30,12,1000,999,20260917
real,T cell,ENSG00000169248,CXCL11,CXCL11,0.3537364237245921,0.15531836069062213,0.5599231987195497,0.03,30,12,1000,999,20260917
real,T cell,ENSG00000137628,DDX60,DDX60,1.6376711380838418,1.1970881367718718,2.036167111432979,0.001,30,12,1000,999,20260917
real,T cell,ENSG00000055332,EIF2AK2,EIF2AK2,1.6262995989990636,1.2639867583596014,1.9406106880146938,0.001,30,12,1000,999,20260917
real,T cell,ENSG00000133106,EPSTI1,EPSTI1,2.387239089863285,1.739361602751201,3.056723012018257,0.001,30,12,1000,999,20260917
real,T cell,ENSG00000112773,FAM46A,TENT5A,0.27808712684280096,0.09298360747894426,0.4639478667432491,0.079,30,12,1000,999,20260917
real,T cell,ENSG00000162645,GBP2,GBP2,0.23043488973163367,0.04598522051148493,0.40281069316211293,0.118,30,12,1000,999,20260917
real,T cell,ENSG00000162654,GBP4,GBP4,0.4024904117700465,0.14776098545578314,0.6395050254232769,0.035,30,12,1000,999,20260917
real,T cell,ENSG00000137198,GMPR,GMPR,1.2454541777237276,0.7448873777944096,1.728965636323326,0.001,30,12,1000,999,20260917
real,T cell,ENSG00000130589,HELZ2,HELZ2,1.6206133989817837,1.1963305809353793,1.9747510833343223,0.001,30,12,1000,999,20260917
real,T cell,ENSG00000138642,HERC6,HERC6,1.8044026664487023,1.3442195422684617,2.220127406232308,0.001,30,12,1000,999,20260917
real,T cell,ENSG00000165949,IFI27,IFI27,7.211612930071716,6.137959171385184,8.037981787764213,0.001,30,12,1000,999,20260917
real,T cell,ENSG00000216490,IFI30,IFI30,0.46114241473236833,0.09740039401692481,0.820065198897629,0.059,30,12,1000,999,20260917
real,T cell,ENSG00000068079,IFI35,IFI35,1.2091527007837766,0.8103298468110133,1.5413824233149087,0.001,30,12,1000,999,20260917
